;foto;localizacao;nome
171;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAjwAAAAJDkzYmFkMTU3LTYwNjUtNDFlOC04NWVhLTRiMDZjZTU0ZTlkZg.jpg;Maceió/AL;Julia Stateri
172;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAjqAAAAJGNkYjM1YTgzLTYxMzItNDkyMC1iNGUxLWJjMjBiYzg0YmNlMA.jpg;Campinas/SP;Juliana de Bittencourt Escobar
173;./Mulheres Palestrantes_files/AAMABADGAAwAAQAAAAAAAA6zAAAAJGRjMGVhYmE3LTQ5ZTgtNGU3Yy04NTJkLTQ5NTU2NjJlNDllOA.jpg;Porto Alegre/RS;Juliana Carvalho
174;./Mulheres Palestrantes_files/placeholder-female.jpg;João Pessoa/PB;Juliana Chahoud
175;./Mulheres Palestrantes_files/3291727;São Paulo/SP;Juliana Félix Nunes
176;./Mulheres Palestrantes_files/037d35f865f95571c3194b4c84a4915b.jpeg;Goiânia/GO;Juliana Fernandes
177;./Mulheres Palestrantes_files/placeholder-female.jpg;Porto Alegre/RS;Juliana Fernandes
178;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAviAAAAJGFhMzc0MDFiLWZjNTAtNDE1YS1hZGE2LWYxMjU3MTRkZWJmMg.jpg;São Paulo/SP;Juliana Guerra
179;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAd8AAAAJDc0MTdjYWJjLWQxYTMtNGQ1NS1hNDQxLWIwZjAxNmZmZjhmMA.jpg;São Paulo/SP;Juliana Hercowitz
180;./Mulheres Palestrantes_files/AAIA_wDGAAAAAQAAAAAAAAxxAAAAJDc0NTMyMGNmLWI3MGUtNGRlOC05ZGEwLWI1MGYzMjkzODkwOQ.jpg;São Paulo/SP;Juliana Wallauer
181;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAl0AAAAJDM1OWFmZTI2LTM0OTQtNDMwMy1hN2Q2LTUyODgzNjg5YTNhZg.jpg;São Paulo/SP;Juliene Alves
182;./Mulheres Palestrantes_files/APVpL4L6_400x400.jpg;Recife/PE;Julyane Miranda
183;./Mulheres Palestrantes_files/ad74bd0e6c00310471c4761e1ec73f5d;Rio de Janeiro/RJ;Karen Figueiredo
184;./Mulheres Palestrantes_files/5774b104265c725d9ea7e65b5411a2c2.jpeg;Cuiabá/MT;Karina Girardi Roggia
185;./Mulheres Palestrantes_files/placeholder-female.jpg;Joinville/SC;Karina Martins
186;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Karla Patriota Bronsztein
187;./Mulheres Palestrantes_files/3bae151.jpg;Recife/PE;Kathlen Amado
188;./Mulheres Palestrantes_files/82810bb4e5c8a9caecda9f48ed285ffc.jpeg;Brasília/DF;Kelly Kiyumi
189;./Mulheres Palestrantes_files/891f39aa823d65aed365e0b801a58af8.jpeg;São Paulo/SP;Krystal Campioni
190;./Mulheres Palestrantes_files/2b1fd1c.jpg;São Paulo/SP;Laís Carvalho
191;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAROAAAAJDdiM2Q2ZGMyLWY5NGUtNDUxOC1iZmRmLWE0MGEyNDdhOTE4Mg.jpg;São Paulo/SP;Lais de Lima
192;./Mulheres Palestrantes_files/55ea4b542e9aef1c4cfc45e30100b9a9;Belém/PA;Larissa Sá 
193;./Mulheres Palestrantes_files/placeholder-female.jpg;Brasilia/DF;Laura Gurgel
194;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAeOAAAAJDY0Yzc1ZDk4LTExYTItNGJkZS1hNWViLTAxZWQyYTllNjQwMw.jpg;São Paulo/SP;Laura Nobrega
195;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Letícia Passarelli Canova
196;./Mulheres Palestrantes_files/a47dc8cc9354985bd4f688c78e910261.png;São Paulo/SP;Leticia Figueira
197;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAmJAAAAJDJkMDQ1YzQ0LThhZGEtNGZiNS1hMjdkLTIwNmJjMDFhZTc2MA.jpg;Porto Alegre/RS;Letícia Millião
198;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAlHAAAAJDAyMDMwNjkwLWMxNTYtNDIyYy1iYzYxLWRjOGM0MmQzMjI3NA.jpg;São Paulo/SP;Letícia Motta
199;./Mulheres Palestrantes_files/96f6148ae5af63f90246a3817686b457.jpeg;Rio de Janeiro/RJ;Leticia Portella
200;./Mulheres Palestrantes_files/0ce2411.jpg;Ribeirão Preto/SP;Leticia Pozza
201;./Mulheres Palestrantes_files/13442773;Porto Alegre/RS;Letticia Nicoli
202;./Mulheres Palestrantes_files/171d49d996b7c9c2d93af7066948dc47.jpeg;São Paulo/SP;Lhaís Rodrigues
203;./Mulheres Palestrantes_files/b71e8a1577930c3d84478e5c325d5d53.jpeg;Recife/PE;Lidiane De Souza Monteiro
204;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAwCAAAAJDljZGVjYTY5LWY3NWYtNDM5Yi1hYmExLTAyNDUwNmJlY2JjZg.jpg;Recife/PE;Lígia Bernar
205;./Mulheres Palestrantes_files/7f92138973430327cc2a6c2758c31b15.png;Belém/PA;Lígia Zeppelini
206;./Mulheres Palestrantes_files/da72818e353c00159b1e259359de6fe0;São Paulo/SP;Liliam Leal
207;./Mulheres Palestrantes_files/16c4a29.jpg;São Paulo/SP;Lilian Gonçalves
208;./Mulheres Palestrantes_files/08a9d15.jpg;São Paulo/SP;Lina Garrido
209;./Mulheres Palestrantes_files/23afdd1.jpg;São Paulo/SP;Lisi Moraes
210;./Mulheres Palestrantes_files/59545;Florianópolis/SC;Loiane Groner
211;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Luana Weitzel
212;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAs9AAAAJDEzMjhhMmY3LTBhZTMtNDYyMS1hNTI1LWNkNjZiMmViOWVhZA.jpg;Rio de Janeiro/RJ;Luciana Guerra
213;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Luciana Minev
214;./Mulheres Palestrantes_files/placeholder-female.jpg;Manaus/AM;Luciana Stabile
215;./Mulheres Palestrantes_files/65c5b3ac0eeae6d90fea315e72068f16.jpeg;Ribeirão Preto/SP;Luiza Guerra
216;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAliAAAAJDZmZWIxM2RhLTJiM2MtNDIyZS04OTViLTc0NzI4YjA2OGY1Nw.jpg;Belo Horizonte/MG;Macarena Garcia
217;./Mulheres Palestrantes_files/7ee96fafef481d455a222c6102cf3528.jpeg;São Paulo/SP;Maitê Balhester
218;./Mulheres Palestrantes_files/placeholder-female.jpg;Santo André/SP;Marcela Costa
219;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAxHAAAAJGIwYjc2Mzc5LWM3MDAtNGM1NC04MTQyLTk4MDc2ZGNiMDE2ZQ.jpg;Recife/PE;Marcela Milano
220;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAMzAAAAJGYwZjJjYmM1LTEzODktNDFmZS05YzFkLWE3ODUwN2FlNDcwYQ.jpg;Curitiba/PR;Marcela Oliveira
221;./Mulheres Palestrantes_files/ac3d63657b5e83530e24cde0172776c0.jpeg;São Paulo/SP;Marcela Santos
222;./Mulheres Palestrantes_files/67f4a42acf26552b0212c6fb6e4b186f.jpeg;Porto Alegre/RS;Márcia Santos Almeida
223;./Mulheres Palestrantes_files/78b75aad21ed5ed351d9822d77acd7fc.jpeg;Goiânia/GO;Maria Clara Santana
224;./Mulheres Palestrantes_files/placeholder-female.jpg;Maceió/AL;Marina Miranda
225;./Mulheres Palestrantes_files/acf4d17d0e0a7f8f0ba61f4d7895c489.jpeg;São Paulo/SP;Mariana Araujo Mioto
226;./Mulheres Palestrantes_files/placeholder-female.jpg;Porto Alegre/RS;Mariana Camargo
227;./Mulheres Palestrantes_files/2fec6491815582734b1ddc97449a44a4;São Paulo/SP;Mariana Gomes 
228;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAkQAAAAJGZlMjFlZDM5LWJmY2ItNDYwMi04MzRmLTlkZWMwOTlmNjNkNw.jpg;São Paulo/SP;Mariana Janeiro
229;./Mulheres Palestrantes_files/852d4d7999da6483617ca28da2383b4d.jpeg;Jundiaí/SP;Mariana Maneira
230;./Mulheres Palestrantes_files/1b21abc.jpg;São Paulo/SP;Mariana Matos
231;./Mulheres Palestrantes_files/c2eae133a7e4c21231cb8e886497198c;Rio de Janeiro/RJ;Marianne Costa
232;./Mulheres Palestrantes_files/4c2f1d898d747dab7585d050ac8273ca;São Paulo/SP;Mariela Castro
233;./Mulheres Palestrantes_files/022ff18e9fba3f2db09f7e35f1c5c339;Curitiba/PR;Marina Arilha Silva
234;./Mulheres Palestrantes_files/1f18906.jpg;Jundiaí/SP;Maristela Moura
235;./Mulheres Palestrantes_files/901ef2fc184b347a5f5717c2ddc3f5e6.jpeg;Indaiatuba/SP;Marta Preuss
236;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAMtAAAAJDMyZDY1Y2UyLTAxZWUtNDk2Ny1iODI1LWJjMmY4ODQ0NzFhZQ.jpg;Florianópolis/SC;Marla Dore
237;./Mulheres Palestrantes_files/e3a29c667bd11908fe3006b90bc61619.jpeg;Salvador/BA;Martina Scherrer
238;./Mulheres Palestrantes_files/4465d8b13bc5825ffbe1ebea01cc7cc8;Porto Alegre/RS;Mayara Carolina de Paula
239;./Mulheres Palestrantes_files/10636124_932122716807075_2937596775672211091_n.jpg;Fortaleza/CE;Mayara Miranda
240;./Mulheres Palestrantes_files/AAEAAQAAAAAAAA3HAAAAJDI0NGJiMTRkLTJjMmUtNDJkNy04YTdkLWRkNGUwNzZmMTc2ZA.jpg;São Paulo/SP;Mayra Fonseca
241;./Mulheres Palestrantes_files/13318439;São Paulo/SP;Mayra R Souza
242;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAwGAAAAJGQxMGE3ZWNkLTgxNzUtNDA3My04ZDBkLWVjN2E2ZDE4OGUyNg.jpg;Porto Alegre/RS;Maysa de Oliveira
243;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAlvAAAAJDUyODNlMzE2LWRiNmMtNDUxYy1hNDA3LTZhMWNmMWUxN2U0MA.jpg;São Paulo/SP;Meli Malatesta
244;./Mulheres Palestrantes_files/ad3b9541600ce3b1e57fdebfa6191c20.jpeg;São Paulo/SP;Melissa Devens
245;./Mulheres Palestrantes_files/placeholder-female.jpg;Campinas /SP;Michele Costa
246;./Mulheres Palestrantes_files/placeholder-female.jpg;Rolim de Moura/RO;Michelle Guimarães
247;./Mulheres Palestrantes_files/placeholder-female.jpg;Manaus/AM;Mila Paes Leme Marques
248;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAxVAAAAJDQyOTdjYzZiLTBlNmQtNDgwYS1iMmNmLTk3ZTc2YjM4MGY5MA.jpg;São Paulo/SP;Mimi Newton
249;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Mirian Meliani Nunes
250;./Mulheres Palestrantes_files/d0cee09c38060345dcdc63d055f0bc54.jpeg;São Paulo/SP;Mônica Bulgari
251;./Mulheres Palestrantes_files/d4be3cb0a04673af6d875058c2c2effe;Campinas/SP;Mychelle Jacob
252;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAjGAAAAJDg2ZGU5MWIzLThkYWItNDkxMS1iYTk0LTdmZTA1OGFhMDIxMg.jpg;Olinda/PE ;Myrian Connor
253;./Mulheres Palestrantes_files/placeholder-female.jpg;Castanhal/PA;Nadezhda Bezerra Batista
254;./Mulheres Palestrantes_files/AAIAAgDGAAAAAQAAAAAAAAmeAAAAJDBmZTY5NGExLTQxOTMtNDc2Yi1hOTkxLTY4OWI1MjUzYTkxZg.jpg;Recife/PE;Nádia Rebouças
255;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAuTAAAAJDU1YmY3YTU1LTdmMmEtNDhmOS05OTFhLTk3M2E0NjczYjVmYQ.jpg;Rio de Janeiro/RJ;Natália Menhem
256;./Mulheres Palestrantes_files/60a21ab75db2e268aa55b2973e2f69c8;Belo Horizonte/MG;Natascha Hun
257;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAh8AAAAJGYxZDdmZTZhLTFhZGQtNDZhNy04MDY2LTgwZTRmNjcyZjQ1ZA.jpg;Sorocaba/SP;Natasha Romariz
258;./Mulheres Palestrantes_files/aee3962dd39be56420d63161bb0c859c;Rio de Janeiro/RJ;Nathalia Novaes Leonessa
259;./Mulheres Palestrantes_files/ce31b72323ed84b80253f4340c98c9dd.png;Sorocaba/SP;Nathalia Sautchuk Patrício
260;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAqnAAAAJDllZGQzNWVhLWUyMTQtNDJlNS05NGMxLTNlMjlkNWM1OWQ2Yw.jpg;São Paulo/SP;Nessa Rodrigues
261;./Mulheres Palestrantes_files/371e87d45d7e34a1ed6f82a665714106.jpeg;Porto Alegre/RS;Olivia Janequine
262;./Mulheres Palestrantes_files/placeholder-female.jpg;Porto Alegre/RS;Paola Tucunduva
263;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Patricia Almeida Ferreira
264;./Mulheres Palestrantes_files/b909b45ac714b7e019b3e6c3c1623916;São Paulo/SP;Patricia Arruda
265;./Mulheres Palestrantes_files/a125fea1abff71dd443b09ba3918c482;União da Vitória/PR;Patricia de Paula
266;./Mulheres Palestrantes_files/AAIA_wDGAAAAAQAAAAAAAAy7AAAAJGUwNTQxMGJkLTJmMmYtNDliMy05NGFmLTM5MjA3NTFmY2I3OQ.jpg;São Paulo/SP;Patricia Kouzmine
267;./Mulheres Palestrantes_files/placeholder-female.jpg;Brasília/DF;Patricia Ramos de Quadros
268;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Patrícia Ribeiro
269;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAdHAAAAJDE5NDQxMTQ0LWU0M2YtNDQzOC1iZTQ4LWY1N2UwZTE0ODhkYw.jpg;Campinas/SP;Patrícia Sant'Anna
270;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Paula Diniz
271;./Mulheres Palestrantes_files/ed70023e19882637aef103170e81f365.jpeg;Belo Horizonte/MG;Paula Faria
272;./Mulheres Palestrantes_files/2524981;Rio de Janeiro/RJ;Paula Grangeiro
273;./Mulheres Palestrantes_files/placeholder-female.jpg;Manaus/AM;Paula Quintão
274;./Mulheres Palestrantes_files/08df93d.jpg;Salvador/BA;Paulinha Paz
275;./Mulheres Palestrantes_files/placeholder-female.jpg;Natal/RN;Preta Emmeline
276;./Mulheres Palestrantes_files/0ecd5129c8defe57116e45a8078c2a68.jpeg;São Paulo/SP;Priscila Chagas
277;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAimAAAAJDNmY2FjMWI5LWViODktNDhhZi04N2Y3LTA2MjQxNDUzMDM5YQ.jpg;Rio de Janeiro/RJ;Rafaela Marques
278;./Mulheres Palestrantes_files/placeholder-female.jpg;Rio de Janeiro/RJ;Rafaella Cavalca
279;./Mulheres Palestrantes_files/68328f099165564e758f8bd7c0a7ae05.jpeg;Rio de Janeiro/RJ;Raissa dos Santos Ferreira
280;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAh_AAAAJDg3YTdhY2RhLWFlMTItNGJhYS04MmZjLWIzNzA0ZDZkODRmYw.jpg;São Paulo/SP;Raissa Klain Belchior
281;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAlqAAAAJGZmYzk4Y2JmLTU4OWEtNDhmMS04MmU3LTdjNjFmMzM5MjZjYg.jpg;Belo Horizonte/MG;Raquel Camargo
282;./Mulheres Palestrantes_files/21d98c7ad075efd639ffbf0e50f9af35;Recife/PE;Raquel de Oliveira Santos Lira
283;./Mulheres Palestrantes_files/cf9ab0b3894b990e19f4e85d6b62f34b.png;Curitiba/PR;Raquel Prado
284;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Raquel Preto
285;./Mulheres Palestrantes_files/placeholder-female.jpg;Vila Velha/ES;Raquel Santachiara
286;./Mulheres Palestrantes_files/placeholder-female.jpg;Natal/RN;Rayanny Nunes
287;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Reimy Solange Chagas
288;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAMUAAAAJDUxZWE0OGQ2LTk0N2MtNDIwOS04MzBlLWNjM2RkNzIzOGJlMA.jpg;São Paulo/SP;Renata Machado Tárrio
289;./Mulheres Palestrantes_files/placeholder-female.jpg;Porto Alegre/RS;Renata Masseroni
290;./Mulheres Palestrantes_files/cb653395be591fe2387eddfb9319e4a3.jpeg;Rio de Janeiro/RJ;Rebeca Bordini
291;./Mulheres Palestrantes_files/acac3abd195659bf7d40086bae543427.jpeg;Osasco/SP;Rebeca Serpa
292;./Mulheres Palestrantes_files/placeholder-female.jpg;Santos/SP;Rita Lino
293;./Mulheres Palestrantes_files/placeholder-female.jpg;Fortaleza/CE;Robertta Mota
294;./Mulheres Palestrantes_files/f45e8318bf829e33e34c1b8b10e2cb1d.jpeg;Brasilia/DF;Ronaiza Cardoso
295;./Mulheres Palestrantes_files/AAMAAgDGAAwAAQAAAAAAAA8YAAAAJDg3YmI2ODkwLThlNjAtNGEyYy04MDUxLWJiODM1NTRkZTY3YQ.jpg;São Paulo/SP;Rosália Cipriano Oliveira
296;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Rosi Rodrigues
297;./Mulheres Palestrantes_files/6be2f94c93c57c403c131e6c80b6c356.jpeg;Joinville/SC;Rosicléia Frasson
298;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAlyAAAAJDkzYzQ4MmMzLWNiYWItNDUzNC05YjA5LTU3ZGQ3OTRkMzYxMA.jpg;Belo Horizonte/MG;Rute Faria
299;./Mulheres Palestrantes_files/d0e2beb1970140f2b36a8aa334c068a8.jpeg;Rio de Janeiro/RJ;Samanta Cicilia
300;./Mulheres Palestrantes_files/2932644;Porto Alegre/RS;Samantha Rosa
301;https://storymax.me/images/samira_lowres.jpg;São Paulo/SP;Samira Almeida
302;./Mulheres Palestrantes_files/6650913;Fortaleza/CE;Sandy Maciel
303;./Mulheres Palestrantes_files/destaque_1502386742SilvanaBahia.jpg;Rio de Janeiro/RJ;Silvana Bahia
304;./Mulheres Palestrantes_files/92cb9418155e8ae0de2214fafc908a43.jpeg;São Paulo/SP;Silvia Helena Rocha Campos
305;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Silvia Valadares
306;./Mulheres Palestrantes_files/0d3d7d27f9da8e0f1d2b69c626c9b4cc.jpeg;Recife/PE;Simone Amorim
307;./Mulheres Palestrantes_files/9ac1f87ee020a87404cc22a3185966b1.jpeg;Florianópolis/SC e São Paulo/SP;Simone Pittner
308;./Mulheres Palestrantes_files/6z7rU3yQ_400x400.jpeg;São Paulo/SP;Soraia Lima
309;./Mulheres Palestrantes_files/07bab57.jpg;São Bernardo do Campo/SP;Stella Dauer
310;./Mulheres Palestrantes_files/AAEAAQAAAAAAAA29AAAAJDBiMjY0ZjkxLTBhMDUtNDg3NC04ZmNlLTU4MmQyNjRjZGJlYQ.jpg;Campinas/SP;Suzana Bueno
311;./Mulheres Palestrantes_files/placeholder-female.jpg;Belo Horizonte/MG;Suzana Cohen
312;./Mulheres Palestrantes_files/placeholder-female.jpg;Guarulhos/SP;Tais Oliveira
313;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Talita Lombardi
314;./Mulheres Palestrantes_files/7b6f40fb2885d5c45f5f676df4bab5fb.jpeg;São Paulo/SP;Talita Pagani
315;./Mulheres Palestrantes_files/dd46d758ae021e8f78c9cd8cefef0c27.jpeg;Florianópolis/SC;Talita Rossari 
316;./Mulheres Palestrantes_files/2ce3c115479dbae97ee681b28ffc6725.jpeg;Recife/PE;Tancicleide Gomes
317;./Mulheres Palestrantes_files/3ed51c2d50a2549abbfd64875b4ff641;São Paulo/SP;Tatiana Assali
318;./Mulheres Palestrantes_files/c5bccef3550aecfec2f68c38626c0860;Fortaleza/CE;Tatiana Lourenço
319;./Mulheres Palestrantes_files/placeholder-female.jpg;Campinas/SP;Tatiana Pezoa
320;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Tatiana Tosi
321;./Mulheres Palestrantes_files/placeholder-female.jpg;Porto Alegre/RS;Tatiana Vargas Maia
322;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Tatiane Conceição Vergueiro
323;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAxBAAAAJDU3ODJiZjg5LTk1N2EtNGRmOS04YzNiLTg0ZGVjNWU1Njg3ZA.jpg;São Paulo/SP;Tatti Maeda
324;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Tayra Vasconcelos
325;./Mulheres Palestrantes_files/placeholder-female.jpg;Belém/PA;Thais Gentile
326;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Thais Godinho
327;./Mulheres Palestrantes_files/placeholder-female.jpg;Recife/PE;Thais Moura de Freitas
328;./Mulheres Palestrantes_files/placeholder-female.jpg;Salvador/BA;Thais Souza
329;./Mulheres Palestrantes_files/54cf6dffa00e7d9f58f44da987cf53e6;Recife/PE;Thaisa Mirely
330;./Mulheres Palestrantes_files/aef601b2a2eb44af917418e2ae9fa339;Porto Alegre/RS;Thaise Saeter
331;./Mulheres Palestrantes_files/e4103d70005e648a639d33a287a8dc0d.jpeg;Belo Horizonte/MG;Thalita Nick Pinheiro
332;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Thaty Moura
333;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Uafa Smaili
334;./Mulheres Palestrantes_files/4bbf316b66f8a754e0f9cdf67254515d.jpeg;Goiânia/GO;Valéria Barros
335;./Mulheres Palestrantes_files/1ddbed5.jpg;Belo Horizonte/MG;Vanessa Gonçalves Ferreira
336;./Mulheres Palestrantes_files/1b874de.jpg;Caxias do Sul/RS;Vanessa Kukul
337;./Mulheres Palestrantes_files/2401246468e994e03713d5b83c16adaa.jpeg;São Paulo/SP;Vanessa Me Tonini
338;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAuwAAAAJGFkZjQ4ODBhLWMwY2UtNDg1MC04MTI5LTk2NzI1ODkwYzkyYQ.jpg;São Paulo/SP;Vanessa Queiroz
339;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Vanessa Rocha
340;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAGDAAAAJDhmOGRhMjExLWNkZGMtNDBhMy1hNmI4LWZjZjUwNTRlMWE4NQ.jpg;Londrina/PR;Vera Cristina de Moraes
341;./Mulheres Palestrantes_files/AAEAAQAAAAAAAATqAAAAJGQ2ZDgyN2FkLThkYmItNDBiOC05YzI3LWU4Mzk0ZmQyNzZjZA.jpg;São Paulo/SP;Vivian Vianna
342;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Viviane Vilella
343;./Mulheres Palestrantes_files/e8922e930f20a9daa1e0a5169235ba4e.jpeg;Curitiba/PR;Yanne Moreira
344;./Mulheres Palestrantes_files/7e089e6db99186280cfe1bbd1a80117c.png;São Paulo/SP;Yasodara Córdova
